文件命名,上传人,状态,编导,上传类型
0715-199双科-自产-自产二-紫薇-云梵-婷玉-A7-B2-有-13,wutingyubj,已同步,婷玉,新素材
0715-199双科-自产-自产二-紫薇-云梵-婷玉-A7-B2-有-12,wutingyubj,已同步,婷玉,新素材
0715-199双科-自产-自产二-紫薇-云梵-婷玉-A7-B2-有-11,wutingyubj,已同步,婷玉,新素材
0715-199双科-自产-自产二-紫薇-云梵-婷玉-A7-B2-无-13,wutingyubj,已同步,婷玉,新素材
0715-199双科-自产-自产二-紫薇-云梵-婷玉-A7-B2-无-12.,wutingyubj,已同步,婷玉,新素材
0715-199双科-自产-自产二-紫薇-云梵-婷玉-A7-B2-无-11,wutingyubj,已同步,婷玉,新素材
0715-199双科-自产-自产二-紫薇-云梵-婷玉-A6-B3-有-15,wutingyubj,已同步,婷玉,新素材
0715-199双科-自产-自产二-紫薇-云梵-婷玉-A6-B3-无-15,wutingyubj,已同步,婷玉,新素材
0715-199双科-自产-自产二-紫薇-云梵-婷玉-A1-B4-有-14,wutingyubj,已同步,婷玉,新素材
0715-199双科-自产-自产二-紫薇-云梵-婷玉-A1-B4-无-14,wutingyubj,已同步,婷玉,新素材
0611-199双科-自产-自产主-王晶-视觉锤-小敏-A7-B1-无-12,hancg,已同步,小敏,拒审后二次上传
0611-199双科-自产-自产主-王晶-视觉锤-小敏-A2-B6-无-10,hancg,已同步,小敏,拒审后二次上传
0617-199双科-自产-自产主-李博-视觉锤-子衿-A5-B1-无-9,hancg,已同步,子衿,拒审后二次上传
0617-199双科-自产-自产主-李博-视觉锤-子衿-A1-B2-有-2,hancg,已同步,子衿,拒审后二次上传
0610-199双科-自产-自产二-李博-视觉锤-子衿-A7-B2-无-5,hancg,已同步,子衿,拒审后二次上传
0610-199双科-自产-自产二-李博-视觉锤-子衿-A1-B4-无-1,hancg,已同步,子衿,拒审后二次上传
0611-199双科-自产-自产二-王晶-视觉锤-嘉丽-A7-B1-无-22,hancg,已同步,嘉丽,拒审后二次上传
0611-199双科-自产-自产二-王晶-视觉锤-嘉丽-A6-B1-无-23,hancg,已同步,嘉丽,拒审后二次上传
0603-199双科-自产-自产二-李博-视觉锤-嘉丽-A5-B1-有-12,hancg,已同步,嘉丽,拒审后二次上传
0603-199双科-自产-自产二-李博-视觉锤-嘉丽-A5-B1-有-11,hancg,已同步,嘉丽,拒审后二次上传
0520-199双科-自产-自产二-李博-视觉锤-雅迪-A5-B1-有-12,hancg,已同步,雅迪,拒审后二次上传
0520-199双科-自产-自产二-李博-视觉锤-嘉丽-A7-B6-有-17,hancg,已同步,嘉丽,拒审后二次上传
0520-199双科-自产-自产二-李博-视觉锤-嘉丽-A7-B6-无-17,hancg,已同步,嘉丽,拒审后二次上传
0520-199双科-自产-自产二-李博-视觉锤-嘉丽-A5-B1-无-19,hancg,已同步,嘉丽,拒审后二次上传
0508-199双科-自产-自产主-莉娜-视觉锤-雅迪-A5-B2-有-15,hancg,已同步,雅迪,拒审后二次上传
0508-199双科-自产-自产主-莉娜-视觉锤-雅迪-A5-B2-有-14,hancg,已同步,雅迪,拒审后二次上传
0508-199双科-自产-自产主-莉娜-视觉锤-雅迪-A5-B2-无-15,hancg,已同步,雅迪,拒审后二次上传
0508-199双科-自产-自产二-莉娜-视觉锤-雅迪-A5-B2-有-15,hancg,已同步,雅迪,拒审后二次上传
0701-199双科-自产-自产主-李博-视觉锤-小敏-A2-B4-无-10,hancg,已同步,小敏,拒审后二次上传
0701-199双科-自产-自产主-李博-视觉锤-小敏-A2-B4-无-9,hancg,已同步,小敏,拒审后二次上传
0701-199双科-自产-自产二-李博-视觉锤-小敏-A2-B4-无-10,hancg,已同步,小敏,拒审后二次上传
0701-199双科-自产-自产主-李博-视觉锤-子衿-A2-B1-无-1,hancg,已同步,子衿,拒审后二次上传
0701-199双科-自产-自产二-李博-视觉锤-子衿-A2-B1-无-1,hancg,已同步,子衿,拒审后二次上传
0617-199双科-自产-自产二-李博-视觉锤-子衿-A6-B3-无-10,hancg,已同步,子衿,拒审后二次上传
0617-199双科-自产-自产二-李博-视觉锤-子衿-A5-B1-无-9,hancg,已同步,子衿,拒审后二次上传
0617-199双科-自产-自产二-李博-视觉锤-子衿-A2-B4-无-4,hancg,已同步,子衿,拒审后二次上传
0617-199双科-自产-自产二-李博-视觉锤-子衿-A2-B1-有-7,hancg,已同步,子衿,拒审后二次上传
0617-199双科-自产-自产二-李博-视觉锤-子衿-A2-B1-有-3,hancg,未同步,子衿,拒审后二次上传
0617-199双科-自产-自产二-李博-视觉锤-子衿-A2-B1-无-7,hancg,未同步,子衿,拒审后二次上传
0624-9物-自产-自产主-李博-视觉锤-雅迪-A5-B2-有-20,hancg,已同步,雅迪,拒审后二次上传
0624-9物-自产-自产主-李博-视觉锤-雅迪-A5-B2-有-17,hancg,已同步,雅迪,拒审后二次上传
0617-9物-自产-自产主-李博-视觉锤-雅迪-A5-B2-有-19,hancg,已同步,雅迪,拒审后二次上传
0617-9物-自产-自产主-李博-视觉锤-雅迪-A5-B2-有-18,hancg,已同步,雅迪,拒审后二次上传
0617-9物-自产-自产主-李博-视觉锤-雅迪-A5-B2-无-19,hancg,已同步,雅迪,拒审后二次上传
0617-9物-自产-自产主-李博-视觉锤-雅迪-A5-B2-无-16,hancg,已同步,雅迪,拒审后二次上传
0603-9物-自产-自产二-李博-视觉锤-浩正-A5-B1-有-14,hancg,已同步,浩正,拒审后二次上传
0603-9物-自产-自产二-李博-视觉锤-浩正-A5-B1-有-12,hancg,已同步,浩正,拒审后二次上传
0603-9物-自产-自产二-李博-视觉锤-浩正-A5-B1-无-15,hancg,已同步,浩正,拒审后二次上传
0603-9物-自产-自产二-李博-视觉锤-浩正-A5-B1-无-14,hancg,已同步,浩正,拒审后二次上传
0603-9物-自产-自产二-李博-视觉锤-雅迪-A5-B2-有-18,hancg,已同步,雅迪,拒审后二次上传
0527-9物-自产-自产主-李博-视觉锤-雅迪-A5-B2-无-20,hancg,已同步,雅迪,拒审后二次上传
0527-9物-自产-自产主-李博-视觉锤-雅迪-A5-B1-有-16,hancg,已同步,雅迪,拒审后二次上传
0527-9物-自产-自产主-李博-视觉锤-雅迪-A5-B1-无-19,hancg,已同步,雅迪,拒审后二次上传
0521-9物-自产-自产二--曲中雨-雅迪-A5效果保证-B2提分刚需-无-9,hancg,已同步,雅迪,拒审后二次上传
0521-9物-自产-自产二--曲中雨-雅迪-A5效果保证-B1效果方法体系-无-12,hancg,已同步,雅迪,拒审后二次上传
0521-9物-自产-自产二--曲中雨-雅迪-A5效果保证-B1效果方法体系-无-10,hancg,已同步,雅迪,拒审后二次上传
0521-9物-自产-自产二--曲中雨-嘉丽-A7方法优势-B1效果方法体系-无-16,hancg,已同步,嘉丽,拒审后二次上传
0521-9物-自产-自产二--曲中雨-嘉丽-A7方法优势-B1效果方法体系-无-13,hancg,已同步,嘉丽,拒审后二次上传
0521-9物-自产-自产二--曲中雨-嘉丽-A1价格拆解-B2提分刚需-无-14,hancg,已同步,嘉丽,拒审后二次上传
