文件命名,上传人,状态,编导,上传类型
0708-199双科-自产-自产主-丁梓仟-视觉锤-嘉丽-A7-B1-无-8,weijiali,未同步,嘉丽,新素材
0708-199双科-自产-自产主-丁梓仟-视觉锤-嘉丽-A6-B1-无-9,weijiali,未同步,嘉丽,新素材
0708-199双科-自产-自产主-丁梓仟-视觉锤-嘉丽-A1-B6-无-7,weijiali,未同步,嘉丽,新素材
0708-199双科-自产-自产主-丁梓仟-视觉锤-嘉丽-A1-B1-无-10,weijiali,未同步,嘉丽,新素材
0708-199双科-自产-自产主-丁梓仟-视觉锤-嘉丽-A1-B1-无-6,weijiali,未同步,嘉丽,新素材
0708-199双科-自产-自产二-丁梓仟-视觉锤-嘉丽-A7-B1-无-8,weijiali,未同步,嘉丽,新素材
0708-199双科-自产-自产二-丁梓仟-视觉锤-嘉丽-A6-B1-无-9,weijiali,未同步,嘉丽,新素材
0708-199双科-自产-自产二-丁梓仟-视觉锤-嘉丽-A1-B6-无-7,weijiali,未同步,嘉丽,新素材
0708-199双科-自产-自产二-丁梓仟-视觉锤-嘉丽-A1-B1-无-10,weijiali,未同步,嘉丽,新素材
0708-199双科-自产-自产二-丁梓仟-视觉锤-嘉丽-A1-B1-无-6,weijiali,未同步,嘉丽,新素材
0708-9物-自产-自产主-李博-曲中雨-浩正-A7-B2-有-11,duhaozheng,已投放,浩正,新素材
0708-9物-自产-自产主-李博-曲中雨-浩正-A7-B2-无-11,duhaozheng,已投放,浩正,新素材
0708-9物-自产-自产主-丁梓仟-曲中雨-浩正-A7-B2-有-11,duhaozheng,已同步,浩正,新素材
0708-9物-自产-自产主-丁梓仟-曲中雨-浩正-A7-B2-无-11,duhaozheng,已投放,浩正,新素材
0708-9物-自产-自产主-丁梓仟-曲中雨-浩正-A6-B1-有-12,duhaozheng,已投放,浩正,新素材
0708-9物-自产-自产主-丁梓仟-曲中雨-浩正-A6-B1-无-12,duhaozheng,已投放,浩正,新素材
0708-9物-自产-自产主-丁梓仟-曲中雨-浩正-A5-B2-有-15,duhaozheng,已投放,浩正,新素材
0708-9物-自产-自产主-丁梓仟-曲中雨-浩正-A5-B2-有-14,duhaozheng,已投放,浩正,新素材
0708-9物-自产-自产主-丁梓仟-曲中雨-浩正-A5-B2-有-13,duhaozheng,已投放,浩正,新素材
0708-9物-自产-自产主-丁梓仟-曲中雨-浩正-A5-B2-无-15,duhaozheng,已投放,浩正,新素材
0708-9物-自产-自产主-丁梓仟-曲中雨-浩正-A5-B2-无-14,duhaozheng,已同步,浩正,新素材
0708-9物-自产-自产主-丁梓仟-曲中雨-浩正-A5-B2-无-13,duhaozheng,已同步,浩正,新素材
0708-9物-自产-自产二-丁梓仟-曲中雨-浩正-A7-B2-有-14,duhaozheng,已同步,浩正,新素材
0708-9物-自产-自产二-丁梓仟-曲中雨-浩正-A7-B2-有-11,duhaozheng,已同步,浩正,新素材
0708-9物-自产-自产二-丁梓仟-曲中雨-浩正-A7-B2-无-14,duhaozheng,已同步,浩正,新素材
0708-9物-自产-自产二-丁梓仟-曲中雨-浩正-A7-B2-无-11,duhaozheng,已同步,浩正,新素材
0708-9物-自产-自产二-丁梓仟-曲中雨-浩正-A6-B1-有-12,duhaozheng,已同步,浩正,新素材
0708-9物-自产-自产二-丁梓仟-曲中雨-浩正-A6-B1-无-12,duhaozheng,已同步,浩正,新素材
0708-9物-自产-自产二-丁梓仟-曲中雨-浩正-A5-B2-有-15,duhaozheng,已同步,浩正,新素材
0708-9物-自产-自产二-丁梓仟-曲中雨-浩正-A5-B2-有-13,duhaozheng,已同步,浩正,新素材
0708-9物-自产-自产二-丁梓仟-曲中雨-浩正-A5-B2-无-15,duhaozheng,已同步,浩正,新素材
0708-9物-自产-自产二-丁梓仟-曲中雨-浩正-A5-B2-无-13,duhaozheng,已同步,浩正,新素材
0708-199双科-自产-自产二-丁梓仟-云梵-小敏-有12,quminbj,未同步,小敏,新素材
0708-199双科-自产-自产二-丁梓仟-云梵-小敏-有-15,quminbj,未同步,小敏,新素材
0708-199双科-自产-自产二-丁梓仟-云梵-小敏-有-14,quminbj,未同步,小敏,新素材
0708-199双科-自产-自产二-丁梓仟-云梵-小敏-有-13,quminbj,未同步,小敏,新素材
0708-199双科-自产-自产二-丁梓仟-云梵-小敏-有-11,quminbj,未同步,小敏,新素材
0708-199双科-自产-自产二-丁梓仟-云梵-小敏-无-15,quminbj,未同步,小敏,新素材
0708-199双科-自产-自产二-丁梓仟-云梵-小敏-无-14,quminbj,未同步,小敏,新素材
0708-199双科-自产-自产二-丁梓仟-云梵-小敏-无-13,quminbj,未同步,小敏,新素材
0708-199双科-自产-自产二-丁梓仟-云梵-小敏-无-12,quminbj,未同步,小敏,新素材
0708-199双科-自产-自产二-丁梓仟-云梵-小敏-无-11,quminbj,未同步,小敏,新素材
0708-199双科-自产-自产主-李博-曲中雨-子衿-A5-B4-有2-4,jiazijinbj,已投放,子衿,新素材
0708-199双科-自产-自产主-李博-曲中雨-子衿-A5-B4-有1-4,jiazijinbj,已投放,子衿,新素材
0708-199双科-自产-自产主-李博-曲中雨-子衿-A5-B4-有-5,jiazijinbj,已同步,子衿,新素材
0708-199双科-自产-自产主-李博-曲中雨-子衿-A5-B4-无-5,jiazijinbj,已投放,子衿,新素材
0708-199双科-自产-自产主-李博-曲中雨-子衿-A5-B4-无-4,jiazijinbj,已投放,子衿,新素材
0708-199双科-自产-自产主-李博-曲中雨-子衿-A5-B2-有2-1,jiazijinbj,已投放,子衿,新素材
