文件命名,上传人,状态,编导,上传类型
0611-199双科-自产-自产主-王晶-视觉锤-婷玉--有-18.mp4,wutingyubj,未同步,婷玉,新素材
0611-199双科-自产-自产主-王晶-视觉锤-婷玉--无-18.mp4,wutingyubj,未同步,婷玉,新素材
0611-199双科-自产-自产主-王晶-视觉锤-婷玉-A7-B1-有-17,wutingyubj,未同步,婷玉,新素材
0611-199双科-自产-自产主-王晶-视觉锤-婷玉-A7-B1-无-17,wutingyubj,未同步,婷玉,新素材
0611-199双科-自产-自产主-王晶-视觉锤-婷玉-A6-B3-有-19,wutingyubj,未同步,婷玉,新素材
0611-199双科-自产-自产主-王晶-视觉锤-婷玉-A6-B3-无-19,wutingyubj,未同步,婷玉,新素材
0611-199双科-自产-自产主-王晶-视觉锤-婷玉-A3-B2-有-16,wutingyubj,未同步,婷玉,新素材
0611-199双科-自产-自产主-王晶-视觉锤-婷玉-A3-B2-无-16,wutingyubj,未同步,婷玉,新素材
0611-199双科-自产-自产主-王晶-视觉锤-婷玉-A2-B5-有-15,wutingyubj,未同步,婷玉,新素材
0611-199双科-自产-自产主-王晶-视觉锤-婷玉-A2-B5-无-15,wutingyubj,未同步,婷玉,新素材
0611-199双科-自产-自产主-王晶-视觉锤-小敏-A7-B1-无-13,quminbj,未同步,小敏,新素材
0611-199双科-自产-自产主-王晶-视觉锤-小敏-A7-B1-无-12,quminbj,未同步,小敏,新素材
0611-199双科-自产-自产主-王晶-视觉锤-小敏-A7-B1-无-11,quminbj,未同步,小敏,新素材
0611-199双科-自产-自产主-王晶-视觉锤-小敏-A5-B2-无-14,quminbj,未同步,小敏,新素材
0611-199双科-自产-自产主-王晶-视觉锤-小敏-A2-B6-无-10,quminbj,未同步,小敏,新素材
0611-199双科-自产-自产主-王晶-视觉锤-小敏-A7-B1-无-13,quminbj,未同步,小敏,新素材
0611-199双科-自产-自产主-王晶-视觉锤-小敏-A7-B1-无-12,quminbj,未同步,小敏,新素材
0611-199双科-自产-自产二-王晶-视觉锤-小敏-A7-B1-无-11,quminbj,未同步,小敏,新素材
0611-199双科-自产-自产二-王晶-视觉锤-小敏-A5-B2-无-14,quminbj,未同步,小敏,新素材
0611-199双科-自产-自产二-王晶-视觉锤-小敏-A2-B6-无-10,quminbj,未同步,小敏,新素材
0520-199双科-自产-自产二-李博-曲中雨-小敏-A7-B1-有-22,hancg,未同步,小敏,拒审后二次上传
0520-199双科-自产-自产主-李博-曲中雨-浩正-A7-B1-有-7,hancg,未同步,浩正,拒审后二次上传
0520-199双科-自产-自产主-李博-曲中雨-浩正-A6-B2-无-10,hancg,未同步,浩正,拒审后二次上传
0520-199双科-自产-自产主-李博-曲中雨-浩正-A5-B2-有-9,hancg,未同步,浩正,拒审后二次上传
0520-199双科-自产-自产主-李博-曲中雨-浩正-A5-B2-有-6,hancg,未同步,浩正,拒审后二次上传
0520-199双科-自产-自产二-李博-曲中雨-浩正-A7-B1-有-7,hancg,未同步,浩正,拒审后二次上传
0520-199双科-自产-自产二-李博-曲中雨-浩正-A6-B2-无-10,hancg,未同步,浩正,拒审后二次上传
0520-199双科-自产-自产二-李博-曲中雨-浩正-A5-B2-有-6,hancg,未同步,浩正,拒审后二次上传
0603-199双科-自产-自产主-李博-曲中雨-嘉丽-A5-B1-有-15,hancg,未同步,嘉丽,拒审后二次上传
